Name,Distance (ly),Luminosity (L/Lo),Radius (R/Ro),Temperature (K),Spectral Class
Epsilon Tauri 68,1657.49,0.98394,0.9446,5911.6,G0V
Kappa Virginis 12,1936.82,1.02216,0.9654,5897.3,G2V
Epsilon Scorpii 78,3391.83,0.76492,0.896,5624.6,G5V
Gamma Andromedae 73,1987.7,0.74584,0.8398,5461.6,G8V
Kappa Lyrae 91,1164.93,0.44839,0.7618,5193.0,K0V
Beta Lyrae 79,3995.95,0.33281,0.7134,4968.1,K2V
Delta Orionis 82,808.1,0.16506,0.6748,4523.1,K5V
Iota Virginis 42,3069.11,0.07025,0.54,4218.8,K8V
Kappa Andromedae 4,3328.88,0.04776,0.5251,4080.6,M0V
Theta Leonis 5,2584.1,0.02444,0.3941,3817.6,M2V
Iota Tauri 60,3136.86,0.00914,0.3243,3492.3,M3.5V
Epsilon Andromedae 93,2714.14,0.00378,0.1524,3031.0,M5V
Zeta Tauri 9,3878.58,0.00035,0.0831,2793.4,M8V
Iota Cygni 74,2424.41,0.0001,0.067,2312.9,M9V
Epsilon Tauri 91,130.58,410402.1759,14.9705,42376.4,O5V
Theta Aquilae 28,2102.4,58750.63729,9.4969,34224.4,O8V
Delta Centauri 57,2026.05,41961.01114,8.6198,28924.5,B0V
Zeta Leonis 94,3496.05,5172.51096,4.3183,26616.9,B2V
Beta Virginis 87,3970.91,1171.93035,2.5548,18325.5,B5V
Iota Centauri 1,1246.82,126.41798,2.8177,15487.5,B8V
Zeta Leonis 6,416.18,78.95622,2.271,9556.2,A0V
Epsilon Lyrae 42,805.58,14.30448,1.7194,9318.2,A2V
Beta Aquilae 20,633.52,6.1446,1.6833,8479.8,A5V
Beta Lyrae 70,1404.0,4.59242,1.2425,8022.6,A7V
Epsilon Andromedae 32,688.58,2.93413,1.3231,7416.2,F0V
Alpha Cygni 4,1885.17,2.6106,1.0659,6916.1,F2V
Eta Scorpii 23,2819.95,1.93477,1.0944,6776.0,F5V
Theta Andromedae 46,1252.65,1.50872,1.0242,6368.3,F8V
Iota Centauri 97,3058.7,1.12712,0.9365,6060.5,G0V
Theta Centauri 59,1244.46,1.0111,0.9537,5794.1,G2V
Delta Cygni 79,1035.33,0.79086,0.8647,5683.5,G5V
Zeta Tauri 59,1952.18,0.61307,0.809,5395.7,G8V
Gamma Aquilae 99,1397.2,0.54367,0.8008,5181.1,K0V
Beta Tauri 72,2599.28,0.40849,0.7333,4920.2,K2V
Eta Lyrae 80,977.94,0.14544,0.6379,4426.4,K5V
Delta Andromedae 56,3138.16,0.09918,0.5945,4263.4,K8V
Delta Cygni 85,2679.81,0.06957,0.5068,4059.2,M0V
Beta Andromedae 77,1853.89,0.02665,0.4233,3602.9,M2V
Eta Centauri 77,438.72,0.01314,0.3271,3332.6,M3.5V
Theta Orionis 12,873.73,0.00169,0.2255,3102.0,M5V
Alpha Cygni 85,600.44,0.00058,0.119,2631.2,M8V
Delta Lyrae 88,3510.22,0.00012,0.1077,2271.8,M9V
Eta Tauri 12,2332.66,558618.06713,15.1042,48476.4,O5V
Epsilon Orionis 48,3604.72,98394.97583,8.0034,37360.2,O8V
Zeta Centauri 37,3463.28,19409.64682,7.8089,30365.6,B0V
Zeta Scorpii 52,1528.86,6815.83152,5.1562,24849.2,B2V
Delta Virginis 50,3373.97,1528.66214,3.1259,17730.8,B5V
Gamma Cygni 2,290.88,109.42468,2.6656,13946.8,B8V
Eta Cygni 11,552.5,82.53475,2.3741,11734.0,A0V
Kappa Scorpii 80,722.63,19.20713,1.7312,9060.0,A2V
Zeta Lyrae 24,1701.5,5.0743,1.4993,8565.5,A5V
Iota Aquilae 53,3706.57,5.88176,1.21,7622.7,A7V
Theta Tauri 15,2322.84,4.88521,1.12,7492.1,F0V
Iota Aquilae 60,2069.83,2.42803,1.1415,6973.6,F2V
Beta Virginis 75,1252.89,1.43166,1.0515,6811.4,F5V
Theta Leonis 66,3624.61,1.38698,0.9898,6241.2,F8V
Epsilon Aquilae 22,145.36,1.26915,0.9825,6045.4,G0V
Kappa Aquilae 8,2518.76,0.99454,0.9401,5831.3,G2V
Epsilon Andromedae 4,1150.26,0.72063,0.8904,5670.3,G5V
Epsilon Aquilae 17,2464.8,0.65504,0.8206,5448.3,G8V
Kappa Cygni 76,2956.97,0.56479,0.787,5135.1,K0V
Delta Leonis 24,3198.33,0.4224,0.7143,4825.3,K2V
Gamma Andromedae 20,3351.14,0.24044,0.6296,4553.3,K5V
Theta Cygni 27,2312.8,0.13576,0.5065,4179.3,K8V
Beta Orionis 22,1858.31,0.05905,0.4714,4087.1,M0V
Iota Lyrae 49,2735.37,0.0217,0.3394,3709.1,M2V
Eta Orionis 37,3709.2,0.00949,0.3178,3536.6,M3.5V
Alpha Centauri 69,2551.22,0.00578,0.2061,3167.2,M5V
Epsilon Tauri 35,1071.43,0.00019,0.1454,2556.5,M8V
Delta Andromedae 99,783.08,0.00012,0.1014,2072.0,M9V
Iota Orionis 87,38.07,150963.96624,14.1125,45252.6,O5V
Theta Tauri 29,2902.16,62594.80536,8.1362,37716.4,O8V
Alpha Andromedae 85,3576.31,18672.9887,7.3975,28730.7,B0V
Beta Centauri 78,523.28,7594.7624,5.7497,25396.4,B2V
Gamma Centauri 90,740.48,1377.50782,3.4907,16454.3,B5V
Theta Aquilae 99,1710.34,642.0349,2.7239,13293.6,B8V
Gamma Centauri 36,3109.36,44.45191,1.8994,9650.1,A0V
Epsilon Cygni 57,281.5,29.54728,1.5204,9014.1,A2V
Theta Centauri 19,2164.46,9.31254,1.5456,8253.1,A5V
Theta Aquilae 14,143.5,3.35206,1.4183,8066.3,A7V
Alpha Leonis 20,2612.92,2.0026,1.1095,7356.2,F0V
Gamma Tauri 51,2300.35,2.41846,1.191,7047.2,F2V
Eta Scorpii 94,3124.67,1.87123,1.081,6501.3,F5V
Theta Centauri 73,2143.17,1.5958,0.99,6221.1,F8V
Alpha Centauri 47,2140.46,1.28437,0.9356,5991.9,G0V
Epsilon Lyrae 23,2219.77,1.09188,0.9463,5759.8,G2V
Eta Centauri 81,2756.68,0.82163,0.9208,5587.6,G5V
Delta Cygni 5,775.76,0.74395,0.8474,5397.8,G8V
Beta Virginis 83,1233.83,0.53349,0.8334,5189.9,K0V
Alpha Orionis 44,228.18,0.40756,0.6843,4835.5,K2V
Iota Leonis 87,3481.35,0.20585,0.6689,4493.2,K5V
Beta Orionis 95,569.97,0.11884,0.5565,4375.4,K8V
Alpha Lyrae 90,2596.62,0.04057,0.4949,4076.2,M0V
Beta Leonis 79,686.24,0.02773,0.4227,3581.9,M2V
Theta Andromedae 79,885.56,0.01304,0.2926,3484.0,M3.5V
Eta Tauri 16,3903.51,0.00388,0.1679,3134.6,M5V
Delta Orionis 76,697.26,0.00016,0.1074,2703.0,M8V
Gamma Tauri 71,663.53,0.00011,0.0949,2053.3,M9V
Kappa Scorpii 21,66.66,465225.60612,10.0635,41794.1,O5V
Beta Andromedae 37,1667.34,90370.59016,11.0903,38154.1,O8V
Delta Cygni 82,1086.86,28016.76524,5.957,29047.3,B0V
Alpha Andromedae 24,2869.98,7284.34872,3.7201,26958.9,B2V
Epsilon Tauri 54,22.46,1241.96972,2.6763,19181.2,B5V
Beta Andromedae 47,3451.5,692.06927,2.409,13856.9,B8V
Delta Aquilae 7,778.26,81.69517,2.2167,11921.4,A0V
Theta Leonis 23,642.57,28.29881,1.4324,8991.4,A2V
Delta Scorpii 33,1339.97,13.05154,1.6034,8221.7,A5V
Alpha Virginis 23,635.72,3.14533,1.3545,7642.5,A7V
Delta Leonis 76,2320.81,3.2572,1.2868,7559.3,F0V
Delta Centauri 42,914.37,2.08454,1.1119,6960.0,F2V
Delta Centauri 61,2342.11,1.4326,1.0654,6586.5,F5V
Kappa Leonis 23,1551.89,1.1682,1.0248,6352.8,F8V
Epsilon Lyrae 43,512.51,1.17688,0.9342,5927.3,G0V
Theta Leonis 54,688.29,0.93589,0.962,5820.7,G2V
Kappa Cygni 74,3880.67,0.91375,0.8569,5671.4,G5V
Theta Lyrae 76,1896.17,0.69255,0.8012,5385.6,G8V
Delta Lyrae 42,1739.37,0.4556,0.8427,5289.3,K0V
Kappa Orionis 54,3920.82,0.25801,0.7271,5030.6,K2V
Alpha Scorpii 68,1579.82,0.24955,0.6636,4439.2,K5V
Theta Lyrae 11,2235.8,0.06112,0.5878,4385.0,K8V
Gamma Tauri 38,959.45,0.07996,0.4024,4017.3,M0V
Gamma Leonis 74,2990.21,0.01073,0.3682,3781.6,M2V
Eta Cygni 48,2508.81,0.01204,0.2501,3419.6,M3.5V
Eta Tauri 68,134.92,0.00313,0.1851,3178.4,M5V
Iota Andromedae 27,3151.66,0.00017,0.1681,2694.3,M8V
Alpha Virginis 87,1458.63,9e-05,0.083,2186.1,M9V
Alpha Tauri 47,704.53,519092.84352,10.6701,47093.4,O5V
Delta Cygni 43,957.73,55677.88394,9.914,39634.9,O8V
Kappa Lyrae 97,2981.14,19017.48905,6.4108,29604.1,B0V
Eta Aquilae 7,257.41,5416.58607,4.7156,25160.1,B2V
Beta Leonis 91,2129.58,2598.37174,3.8492,18711.9,B5V
Zeta Centauri 25,3568.07,374.72447,1.8962,15591.8,B8V
Epsilon Centauri 14,662.57,20.08221,1.7332,9876.2,A0V
Delta Virginis 81,94.87,17.16381,1.8094,9445.4,A2V
Theta Tauri 54,1777.78,11.44684,1.4166,8231.5,A5V
Delta Virginis 83,1346.3,5.89352,1.3967,8072.1,A7V
Theta Andromedae 86,2788.73,4.52572,1.2113,7321.6,F0V
Gamma Aquilae 22,3157.96,2.07214,1.1058,6986.4,F2V
Alpha Cygni 46,1140.53,1.97373,1.0928,6564.3,F5V
Iota Aquilae 24,3892.94,1.51967,1.0224,6366.5,F8V
Gamma Cygni 31,471.38,1.29751,0.9702,5988.2,G0V
Zeta Cygni 27,2251.79,0.85867,0.9222,5768.8,G2V
Zeta Leonis 70,3901.97,0.83341,0.8597,5505.0,G5V
Theta Cygni 59,3711.55,0.63121,0.8776,5409.2,G8V
Iota Tauri 83,2823.04,0.51848,0.779,5288.8,K0V
Kappa Cygni 73,2915.32,0.43446,0.7139,4833.7,K2V
Theta Orionis 18,2713.39,0.1387,0.583,4647.0,K5V
Delta Leonis 46,373.74,0.06495,0.577,4275.0,K8V
Delta Aquilae 26,94.3,0.06154,0.4668,4017.9,M0V
Beta Virginis 51,781.18,0.01953,0.3908,3833.0,M2V
Zeta Scorpii 19,2865.05,0.00928,0.2886,3204.3,M3.5V
Zeta Tauri 40,3910.19,0.00537,0.1614,3091.1,M5V
Theta Scorpii 57,1157.52,0.00083,0.177,2569.5,M8V
Eta Cygni 76,2393.43,0.0001,0.0782,2395.4,M9V
Iota Tauri 9,3732.89,543009.16841,13.7577,40066.2,O5V
Epsilon Scorpii 23,2225.12,85512.35034,11.021,34821.6,O8V
Gamma Scorpii 38,2217.34,11689.31658,8.305,33007.5,B0V
Epsilon Leonis 72,2960.52,4571.64155,5.478,22924.1,B2V
Epsilon Leonis 16,2616.71,2753.17901,3.1257,18951.3,B5V
Delta Orionis 16,3059.86,395.83014,2.9648,14395.6,B8V
Zeta Andromedae 62,2264.12,88.15113,2.1652,10690.1,A0V
Beta Tauri 66,2932.95,8.38599,1.5557,9165.3,A2V
Gamma Tauri 60,3513.78,6.35497,1.3653,8336.3,A5V
Eta Tauri 7,1162.41,5.64806,1.4809,7908.3,A7V
Gamma Centauri 77,3011.55,3.63114,1.3181,7530.7,F0V
Epsilon Aquilae 88,2793.14,2.23503,1.1302,7005.5,F2V
Gamma Orionis 18,2074.71,1.62381,1.0727,6636.1,F5V
Gamma Centauri 28,621.77,1.21056,0.977,6458.8,F8V
Kappa Virginis 69,2851.4,1.18091,0.9862,5983.5,G0V
Beta Centauri 17,3693.96,0.96988,0.9218,5772.5,G2V
Theta Andromedae 67,3055.35,0.78551,0.9068,5505.8,G5V
Beta Lyrae 17,3427.86,0.62847,0.8181,5325.1,G8V
Gamma Centauri 55,2764.57,0.59601,0.7578,5254.9,K0V
Eta Orionis 26,435.02,0.40861,0.7313,4817.8,K2V
Beta Aquilae 6,268.91,0.22681,0.6705,4712.9,K5V
Kappa Lyrae 76,3605.11,0.07663,0.5422,4127.2,K8V
Epsilon Andromedae 45,1411.53,0.07421,0.5171,4003.2,M0V
Iota Andromedae 9,400.21,0.02734,0.3021,3615.1,M2V
Delta Aquilae 22,3607.05,0.01037,0.3474,3234.5,M3.5V
Delta Virginis 91,1901.07,0.00449,0.1741,3069.4,M5V
Beta Cygni 46,3925.28,0.00048,0.1314,2563.0,M8V
Zeta Centauri 60,445.0,0.0001,0.1057,2281.9,M9V
Iota Orionis 11,1315.28,186791.95522,12.8361,46003.9,O5V
Epsilon Leonis 29,2217.54,64529.46625,11.4215,35132.7,O8V
Beta Leonis 87,1472.42,10511.43378,7.6966,32032.6,B0V
Eta Leonis 67,2635.63,3595.04137,3.8584,24403.7,B2V
Kappa Centauri 95,3701.48,2949.06266,2.5971,21851.2,B5V
Zeta Lyrae 77,3376.77,342.57342,2.0794,13698.8,B8V
Theta Aquilae 98,2855.18,62.37268,1.8457,11473.7,A0V
Eta Tauri 61,2668.11,28.90305,1.9925,9109.1,A2V
Gamma Leonis 14,492.45,9.89341,1.3923,8671.2,A5V
Alpha Centauri 95,215.39,3.34114,1.4034,8183.2,A7V
Eta Andromedae 87,1310.65,2.90826,1.2558,7504.1,F0V
Iota Leonis 60,811.08,2.59451,1.1235,6978.5,F2V
Zeta Virginis 70,74.81,1.85838,1.1486,6852.1,F5V
Beta Scorpii 58,1261.12,1.28817,1.0014,6113.1,F8V
Iota Aquilae 91,660.09,1.07227,0.9519,5977.8,G0V
Beta Andromedae 87,1964.35,0.98845,0.9378,5794.0,G2V
Iota Cygni 65,226.91,0.76585,0.8973,5575.6,G5V
Zeta Aquilae 42,249.64,0.71809,0.8103,5373.3,G8V
Kappa Orionis 98,3565.83,0.48531,0.7597,5169.0,K0V
Zeta Scorpii 45,229.76,0.29885,0.7035,4893.6,K2V
